,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
4350,2950000,70,2,0.0,3,8011979.826612903,5136428.571428572
4352,7250000,100,35,3.0,3,18766793.31306991,10189857.142857144
4353,5500000,100,0,2.0,3,6559200.238609113,4988341.164705883
4356,5700000,115,0,3.0,3,4138010.251282051,6994235.820895523
4357,5300000,85,30,0.0,3,10309326.797385622,8879166.666666666
4358,5000000,230,25,5.0,6,5297494.923337092,4409719.101123596
4359,13500000,175,0,4.0,5,11259699.059561128,10905714.285714284
4360,13000000,160,15,0.0,4,18840772.21851852,26377954.545454547
4361,2500000,80,26,1.0,3,3909949.1525423727,3320833.333333333
4364,2750000,150,0,3.0,4,6106125.056426332,6910538.461538462
4366,4300000,150,11,0.0,4,6106125.056426332,8019684.777173913
4368,23350000,190,29,4.0,4,18840772.21851852,32659285.71428572
4369,6500000,95,50,1.0,4,18766793.31306991,6243333.333333333
4371,4350000,90,10,3.0,3,9683732.91925466,5653750.0
4372,6250000,90,30,2.0,3,8397364.775800712,10199500.0
4373,19000000,140,15,24.0,3,20111125.68306011,16373294.871794872
4374,14800000,140,26,0.0,4,18840772.21851852,25311428.57142857
4375,7700000,120,38,2.0,4,6559200.238609113,12699506.787330316
4376,7000000,95,35,2.0,3,18766793.31306991,10189857.142857144
4377,2490000,110,8,1.0,3,2769582.4657534244,2304849.7333333334
4378,7550000,80,6,3.0,3,7962301.739130435,7841056.338028169
4379,4200000,100,0,0.5,3,4138010.251282051,3856060.2168674697
4381,6650000,125,31,3.0,4,7962301.739130435,7948520.599250936
4382,5950000,120,50,0.5,4,11259699.059561128,10450000.0
4383,4950000,105,5,1.0,3,4970295.55403868,5269146.553333334
4384,4550000,200,13,3.0,6,5848907.837837838,3660818.1818181816
4385,1900000,120,27,6.0,4,5297494.923337092,4409719.101123596
4386,13500000,180,24,3.0,5,6559200.238609113,12699506.787330316
4387,4150000,90,26,4.0,3,8397364.775800712,5057080.0
4388,21500000,110,4,2.0,4,18766793.31306991,21011136.363636363
4389,8250000,85,40,0.0,3,11981780.303030305,12903979.591836736
4390,5950000,125,36,6.0,4,18766793.31306991,8770657.894736841
4391,14000000,95,31,-1.0,3,18840772.21851852,28713409.09090909
4392,3500000,65,30,0.0,2,20111125.68306011,8250000.0
4393,3400000,85,28,0.0,3,18766793.31306991,5506000.0
4394,2200000,75,42,0.0,2,4254808.612440191,3833292.682926829
4395,7500000,120,0,5.0,4,7437451.282051282,5049988.159763314
4397,5000000,85,0,1.0,3,5297494.923337092,4409719.101123596
4398,7500000,155,0,5.0,5,4871095.435684647,4330600.0
4400,6300000,90,11,2.0,3,8508896.555172414,5710389.610389611
4401,3500000,72,12,-2.0,3,9683732.91925466,6419555.555555556
4402,27000000,155,0,1.0,4,20111125.68306011,20641170.21276596
4403,2950000,120,0,-1.0,3,5297494.923337092,4676827.383297645
4404,6750000,165,5,3.0,5,9683732.91925466,6419555.555555556
4405,10500000,220,31,0.5,4,11981780.303030305,9614705.88235294
4406,6300000,130,26,6.0,4,4254808.612440191,5954714.285714285
4407,4650000,95,26,2.0,3,9683732.91925466,5826067.567567567
4408,6850000,90,0,3.0,3,7437451.282051282,7921470.588235294
4410,8000000,135,0,3.0,4,9683732.91925466,6419555.555555556
4411,5849000,120,0,1.0,4,4059405.832635984,5313413.043478261
4412,4600000,110,0,0.5,4,5297494.923337092,5730666.666666667
4413,4450000,150,16,0.5,6,8508896.555172414,5710389.610389611
4415,3850000,115,20,0.5,3,5478152.10355987,4243333.333333333
4416,2600000,80,16,-1.0,3,9683732.91925466,4168547.619047619
4417,3000000,70,14,3.0,2,8397364.775800712,6044116.504854369
4418,3000000,110,30,3.0,3,10309326.797385622,6104000.0
4420,17500000,90,40,1.0,3,18840772.21851852,35427272.72727273
4421,5150000,80,37,0.5,3,18840772.21851852,13705463.157894736
4422,11500000,120,10,2.0,4,7962301.739130435,9986363.636363637
4423,4500000,84,4,2.0,3,5749051.802409639,6994235.820895523
4424,19000000,170,31,4.0,4,18766793.31306991,28832777.777777776
4425,2300000,95,7,3.0,2,2769582.4657534244,7841056.338028169
4426,3869000,100,21,3.0,3,9683732.91925466,5653750.0
4427,3850000,60,35,0.0,2,5297494.923337092,9753616.279069768
4428,5500000,85,40,1.0,3,11259699.059561128,8086842.105263158
4429,24500000,140,0,6.0,4,18766793.31306991,21011136.363636363
4430,8300000,118,0,3.0,4,7437451.282051282,7890655.172413793
4431,3750000,85,10,0.5,3,6559200.238609113,8573454.545454545
4432,2850000,80,15,0.0,3,11259699.059561128,4676827.383297645
4433,30000000,175,35,1.0,4,18840772.21851852,25264571.42857143
4435,4430000,185,17,12.0,6,6559200.238609113,6188653.333333333
4436,9500000,210,3,3.0,6,8508896.555172414,5710389.610389611
4437,8000000,250,4,4.0,6,4970295.55403868,5269146.553333334
4438,4250000,95,16,1.0,3,5297494.923337092,5730666.666666667
4439,22000000,185,3,1.0,5,18766793.31306991,11202090.0
